null,evelynt+student+academy@chalk.com,Evelyn,Torgenson
null,josephs+student+academy@chalk.com,Joseph,Sturdevant
null,scottyb+student+academy@chalk.com,Scotty,Busch
null,nickyb+student+academy@chalk.com,Nicky,Busch
null,hilmah+student+academy@chalk.com,Hilma,Habbard
null,avisf+student+academy@chalk.com,Avis,Faulcon
null,marybethb+student+academy@chalk.com,Marybeth,Bolduc
null,scarleta+student+academy@chalk.com,Scarlet,Alt
null,rhebal+student+academy@chalk.com,Rheba,Loftin
null,marvela+student+academy@chalk.com,Marvel,Alexander
null,terrir+student+academy@chalk.com,Terri,Robeson
null,tituss+student+academy@chalk.com,Titus,Seese
null,dionneh+student+academy@chalk.com,Dionne,Heron
null,tannaw+student+academy@chalk.com,Tanna,Weisberg
null,ethelk+student+academy@chalk.com,Ethel,Kleckner
null,lorenzaw+student+academy@chalk.com,Lorenza,Waggener
null,nannies+student+academy@chalk.com,Nannie,Stupka
null,emiler+student+academy@chalk.com,Emile,Rincon
null,zeneidah+student+academy@chalk.com,Zeneida,Hotard
null,lenoras+student+academy@chalk.com,Lenora,Speights
